ocha_pcode,name,hlcit_code,region_code,zone_code,zone_name,centroid_x,centroid_y
F-SET-69,Achham,524 5 13 69,524 5,524 5 13,Seti,81.296977,29.112685
W-LUM-51,Arghakhanchi,524 3 09 50,524 3,524 3 09,Lumbini,83.079183,27.908668
W-DHA-45,Baglung,524 3 08 43,524 3,524 3 08,Dhawalagiri,83.250326,28.347623
F-MAH-74,Baitadi,524 5 14 74,524 5,524 5 14,Mahakali,80.571382,29.507656
F-SET-68,Bajhang,524 5 13 67,524 5,524 5 13,Seti,81.178582,29.70836
F-SET-67,Bajura,524 5 13 68,524 5,524 5 13,Seti,81.563026,29.561438
M-BHE-57,Banke,524 4 11 57,524 4,524 4 11,Bheri,81.822152,28.087288
C-NAR-33,Bara,524 2 06 33,524 2,524 2 06,Narayani,85.07061,27.107909
M-BHE-58,Bardiya,524 4 11 58,524 4,524 4 11,Bheri,81.401381,28.383787
C-BAG-26,Bhaktapur,524 2 05 26,524 2,524 2 05,Bagmati,85.515648,27.677814
E-KOS-10,Bhojpur,524 1 02 10,524 1,524 1 02,Koshi,87.067752,27.181942
C-NAR-35,Chitawan,524 2 06 35,524 2,524 2 06,Narayani,84.434393,27.585066
F-MAH-73,Dadeldhura,524 5 14 73,524 5,524 5 14,Mahakali,80.488935,29.223237
M-BHE-60,Dailekh,524 4 11 61,524 4,524 4 11,Bheri,81.67874,28.881506
M-RAP-56,Dang,524 4 10 56,524 4,524 4 10,Rapti,82.410251,27.964262
F-MAH-75,Darchula,524 5 14 75,524 5,524 5 14,Mahakali,80.791757,29.892064
C-BAG-30,Dhading,524 2 05 30,524 2,524 2 05,Bagmati,84.90022,27.95483
E-KOS-07,Dhankuta,524 1 02 07,524 1,524 1 02,Koshi,87.33081,26.991058
C-JAN-17,Dhanusha,524 2 04 17,524 2,524 2 04,Janakpur,86.033742,26.828868
C-JAN-22,Dolakha,524 2 04 22,524 2,524 2 04,Janakpur,86.198479,27.785846
M-KAR-62,Dolpa,524 4 12 62,524 4,524 4 12,Karnali,83.052032,29.170774
F-SET-70,Doti,524 5 13 70,524 5,524 5 13,Seti,80.894435,29.169758
W-GAN-36,Gorkha,524 3 07 36,524 3,524 3 07,Gandaki,84.82038,28.318949
W-LUM-46,Gulmi,524 3 09 51,524 3,524 3 09,Lumbini,83.306888,28.094015
M-KAR-66,Humla,524 4 12 66,524 4,524 4 12,Karnali,81.879728,30.032437
E-MEC-03,Ilam,524 1 01 03,524 1,524 1 01,Mechi,87.901428,26.881289
M-BHE-61,Jajarkot,524 4 11 60,524 4,524 4 11,Bheri,82.167735,28.865498
E-MEC-04,Jhapa,524 1 01 04,524 1,524 1 01,Mechi,87.913093,26.584672
M-KAR-63,Jumla,524 4 12 63,524 4,524 4 12,Karnali,82.21713,29.271831
C-BAG-24,Kabhrepalanchok,524 2 05 24,524 2,524 2 05,Bagmati,85.659344,27.505481
F-SET-71,Kailali,524 5 13 71,524 5,524 5 13,Seti,80.87909,28.741759
M-KAR-64,Kalikot,524 4 12 64,524 4,524 4 12,Karnali,81.751897,29.195232
F-MAH-72,Kanchanpur,524 5 14 72,524 5,524 5 14,Mahakali,80.321662,28.86194
W-LUM-50,Kapilbastu,524 3 09 49,524 3,524 3 09,Lumbini,82.98135,27.627925
W-GAN-40,Kaski,524 3 07 39,524 3,524 3 07,Gandaki,83.99721,28.355068
C-BAG-27,Kathmandu,524 2 05 27,524 2,524 2 05,Bagmati,85.347213,27.808325
E-SAG-13,Khotang,524 1 03 12,524 1,524 1 03,Sagarmatha,86.786897,27.168229
C-BAG-25,Lalitpur,524 2 05 25,524 2,524 2 05,Bagmati,85.32255,27.53981
W-GAN-37,Lamjung,524 3 07 37,524 3,524 3 07,Gandaki,84.429915,28.289437
C-JAN-18,Mahottari,524 2 04 18,524 2,524 2 04,Janakpur,85.819774,26.879259
C-NAR-31,Makawanpur,524 2 06 31,524 2,524 2 06,Narayani,85.001053,27.470089
W-GAN-41,Manang,524 3 07 38,524 3,524 3 07,Gandaki,84.224377,28.67304
