date,DIST_ID,DISTRICT,ZONE,REG_CODE,ZONE_CODE,OCHA_PCODE,HLCIT_CODE,Total Household,Total Population,Deaths,Injured,GovtBuild_Damage,GovtBuild_PartDamage,PublicBuild_Damage,PublicBuild_PartDamage,Displaced_Females,Displaced_Males
03/06/15,1,Taplejung,Mechi,524 1,1/1/0524,E-MEC-01,524 1 01 01,26509,127461,1,7,0,69,51,436,,
03/06/15,2,Panchthar,Mechi,524 1,1/1/0524,E-MEC-02,524 1 01 02,41196,191817,0,9,22,5,229,926,,
03/06/15,3,Ilam,Mechi,524 1,1/1/0524,E-MEC-03,524 1 01 03,65502,290254,0,10,34,42,316,2032,,
03/06/15,4,Jhapa,Mechi,524 1,1/1/0524,E-MEC-04,524 1 01 04,184552,812650,1,25,0,46,95,144,,
03/06/15,5,Morang,Koshi,524 1,1/2/0524,E-KOS-05,524 1 02 05,213997,965370,2,59,0,51,3,112,,
03/06/15,6,Sunsari,Koshi,524 1,1/2/0524,E-KOS-06,524 1 02 06,162407,763487,9,35,0,42,2,63,,
03/06/15,7,Dhankuta,Koshi,524 1,1/2/0524,E-KOS-07,524 1 02 07,37637,163412,0,5,0,39,450,1500,,
03/06/15,8,Terhathum,Koshi,524 1,1/2/0524,E-KOS-08,524 1 02 08,22094,101577,1,14,0,60,91,603,,
03/06/15,9,Sankhuwasabha,Koshi,524 1,1/2/0524,E-KOS-09,524 1 02 09,34624,158742,0,8,88,208,1116,2505,,
03/06/15,10,Bhojpur,Koshi,524 1,1/2/0524,E-KOS-10,524 1 02 10,39419,182459,2,13,0,21,1414,3513,,
03/06/15,11,Solukhumbu,Sagarmatha,524 1,1/3/0524,E-SAG-11,524 1 03 11,23785,105886,20,100,75,142,2505,6176,,
03/06/15,13,Khotang,Sagarmatha,524 1,1/3/0524,E-SAG-13,524 1 03 12,42664,206312,0,8,18,55,2110,4986,,
03/06/15,12,Okhaldhunga,Sagarmatha,524 1,1/3/0524,E-SAG-12,524 1 03 13,32502,147984,20,61,1,191,10031,3107,,
03/06/15,14,Udayapur,Sagarmatha,524 1,1/3/0524,E-SAG-14,524 1 03 14,66557,317532,1,35,52,460,95,516,,
03/06/15,15,Saptari,Sagarmatha,524 1,1/3/0524,E-SAG-15,524 1 03 15,121098,639284,0,24,0,28,0,355,,
