"code","ocha_pcode","name",households,total,male,female
"524 1 01 01","E-MEC-01","Taplejung",26509,127461,60552,66909
"524 1 01 02","E-MEC-02","Panchthar",41196,191817,90186,101631
"524 1 01 03","E-MEC-03","Ilam",64502,290254,141126,149128
"524 1 01 04","E-MEC-04","Jhapa",184552,812650,385096,427554
"524 1 02 05","E-KOS-05","Morang",213997,965370,466712,498658
"524 1 02 06","E-KOS-06","Sunsari",162407,763487,371229,392258
"524 1 02 07","E-KOS-07","Dhankuta",37637,163412,76515,86897
"524 1 02 08","E-KOS-08","Terhathum",22094,101577,47151,54426
"524 1 02 09","E-KOS-09","Sangkhuwasabha",34624,158742,75225,83517
"524 1 02 10","E-KOS-10","Bhojpur",39419,182459,86053,96406
"524 1 03 11","E-SAG-11","Solukhumbu",23785,105886,51200,54686
"524 1 03 12","E-SAG-13","Khotang",42664,206312,97092,109220
"524 1 03 13","E-SAG-12","Okhaldhunga",32502,147984,68687,79297
"524 1 03 14","E-SAG-14","Udayapur",66557,317532,149712,167820
"524 1 03 15","E-SAG-15","Saptari",121098,639284,313846,325438
"524 1 03 16","E-SAG-16","Siraha",117962,637328,310101,327227
"524 2 04 17","C-JAN-17","Dhanusha",138249,754777,378538,376239
"524 2 04 18","C-JAN-18","Mahottari",111316,627580,311016,316564
"524 2 04 19","C-JAN-19","Sarlahi",132844,769729,389756,379973
"524 2 04 20","C-JAN-20","Sindhuli",57581,296192,142123,154069
"524 2 04 21","C-JAN-21","Ramechhap",43910,202646,93386,109260
"524 2 04 22","C-JAN-22","Dolakha",45688,186557,87003,99554
"524 2 05 23","C-BAG-23","Sindhupalchok",66688,287798,138351,149447
"524 2 05 24","C-BAG-24","Kabhrepalanchok",80720,381937,182936,199001
"524 2 05 25","C-BAG-25","Lalitpur",109797,468132,238082,230050
"524 2 05 26","C-BAG-26","Bhaktapur",68636,304651,154884,149767
"524 2 05 27","C-BAG-27","Kathmandu",436344,1744240,913001,831239
"524 2 05 28","C-BAG-28","Nuwakot",59215,277471,132787,144684
"524 2 05 29","C-BAG-29","Rasuwa",9778,43300,21475,21825
"524 2 05 30","C-BAG-30","Dhading",73851,336067,157834,178233
"524 2 06 31","C-NAR-31","Makawanpur",86127,420477,206684,213793
"524 2 06 32","C-NAR-32","Rautahat",106668,686722,351079,335643
"524 2 06 33","C-NAR-33","Bara",108635,687708,351244,336464
"524 2 06 34","C-NAR-34","Parsa",95536,601017,312358,288659
"524 2 06 35","C-NAR-35","Chitawan",132462,579984,279087,300897
"524 3 07 36","W-GAN-36","Gorkha",66506,271061,121041,150020
"524 3 07 37","W-GAN-37","Lamjung",42079,167724,75913,91811
"524 3 07 38","W-GAN-41","Manang",1480,6538,3661,2877
"524 3 07 39","W-GAN-40","Kaski",125673,492098,236385,255713
"524 3 07 40","W-GAN-38","Tanahun",78309,323288,143410,179878
"524 3 07 41","W-GAN-39","Syangja",68881,289148,125833,163315
"524 3 08 42","W-DHA-44","Parbat",35719,146590,65301,81289
"524 3 08 43","W-DHA-45","Baglung",61522,268613,117997,150616
"524 3 08 44","W-DHA-43","Myagdi",27762,113641,51395,62246
"524 3 08 45","W-DHA-42","Mustang",3354,13452,7093,6359
"524 3 09 46","W-LUM-47","Palpa",59291,261180,115840,145340
"524 3 09 47","W-LUM-48","Nawalparasi",128793,643508,303675,339833
"524 3 09 48","W-LUM-49","Rupandehi",163916,880196,432193,448003
"524 3 09 49","W-LUM-50","Kapilbastu",91321,571936,285599,286337
"524 3 09 50","W-LUM-51","Arghakhanchi",46835,197632,86266,111366
"524 3 09 51","W-LUM-46","Gulmi",64921,280160,120995,159165
"524 4 10 52","M-RAP-54","Rukum",41856,208567,99159,109408
"524 4 10 53","M-RAP-55","Salyan",46556,242444,115969,126475
"524 4 10 54","M-RAP-53","Rolpa",43757,224506,103100,121406
"524 4 10 55","M-RAP-52","Pyuthan",47730,228102,100053,128049
"524 4 10 56","M-RAP-56","Dang",116415,552583,261059,291524
"524 4 11 57","M-BHE-57","Banke",94773,491313,244255,247058
"524 4 11 58","M-BHE-58","Bardiya",83176,426576,205080,221496
"524 4 11 59","M-BHE-59","Surkhet",72863,350804,169421,181383
"524 4 11 60","M-BHE-61","Jajarkot",30472,171304,85537,85767
"524 4 11 61","M-BHE-60","Dailekh",48919,261770,126990,134780
"524 4 12 62","M-KAR-62","Dolpa",7488,36700,18238,18462
"524 4 12 63","M-KAR-63","Jumla",19303,108921,54898,54023
"524 4 12 64","M-KAR-64","Kalikot",23013,136948,68833,68115
"524 4 12 65","M-KAR-65","Mugu",9619,55286,28025,27261
"524 4 12 66","M-KAR-66","Humla",9479,50858,25833,25025
"524 5 13 67","F-SET-68","Bajhang",33786,195159,92794,102365
"524 5 13 68","F-SET-67","Bajura",24908,134912,65806,69106
"524 5 13 69","F-SET-69","Achham",48351,257477,120008,137469
"524 5 13 70","F-SET-70","Doti",41440,211746,97252,114494
"524 5 13 71","F-SET-71","Kailali",142480,775709,378417,397292
"524 5 14 72","F-MAH-72","Kanchanpur",82152,451248,216042,235206
"524 5 14 73","F-MAH-73","Dadeldhura",27045,142094,66556,75538
"524 5 14 74","F-MAH-74","Baitadi",45191,250898,117407,133491
"524 5 14 75","F-MAH-75","Darchula",24618,133274,63605,69669
